gen	species	evals	std        	min     	avg     	max     
0  	0      	128  	0.0191292  	0.205269	0.241618	0.278004
1  	1      	128  	0.0129128  	0.205276	0.2354  	0.260152
2  	2      	128  	0.016908   	0.211967	0.243672	0.278822
3  	3      	128  	0.0158458  	0.203718	0.23619 	0.267772
4  	0      	128  	0.00416346 	0.184627	0.19383 	0.204609
5  	1      	128  	0.00221102 	0.186308	0.191079	0.196905
6  	2      	128  	0.00245444 	0.187729	0.192346	0.198707
7  	3      	128  	0.00330923 	0.185429	0.193877	0.201479
8  	0      	128  	0.00661824 	0.184659	0.194131	0.21775 
9  	1      	128  	0.00278911 	0.185391	0.190256	0.197123
10 	2      	128  	0.00826985 	0.185705	0.195915	0.21738 
11 	3      	128  	0.0096782  	0.184408	0.195628	0.223254
12 	0      	128  	0.00148861 	0.185243	0.187616	0.191808
13 	1      	128  	0.00183139 	0.18405 	0.187356	0.192294
14 	2      	128  	0.00103544 	0.184377	0.186743	0.18898 
15 	3      	128  	0.00187552 	0.184909	0.188356	0.193133
16 	0      	128  	0.002921   	0.185151	0.188993	0.197242
17 	1      	128  	0.00412802 	0.185177	0.189893	0.198751
18 	2      	128  	0.0028342  	0.185598	0.19098 	0.197235
19 	3      	128  	0.002124   	0.183619	0.188212	0.196639
20 	0      	128  	0.00185876 	0.183469	0.18716 	0.19159 
21 	1      	128  	0.000810502	0.185066	0.18669 	0.188913
22 	2      	128  	0.00117204 	0.18378 	0.186976	0.189946
23 	3      	128  	0.00242532 	0.18425 	0.18728 	0.19214 
24 	0      	128  	0.00674724 	0.183063	0.189231	0.214371
25 	1      	128  	0.00422102 	0.185875	0.191644	0.207448
26 	2      	128  	0.00202368 	0.184615	0.187032	0.193341
27 	3      	128  	0.00395337 	0.185116	0.189602	0.207784
28 	0      	128  	0.0021942  	0.182524	0.18549 	0.192656
29 	1      	128  	0.00206311 	0.183413	0.186024	0.194723
30 	2      	128  	0.00103586 	0.182938	0.185143	0.188186
31 	3      	128  	0.00139014 	0.18518 	0.188097	0.19369 
32 	0      	128  	0.0071381  	0.186051	0.190788	0.228591
33 	1      	128  	0.00613177 	0.185705	0.193253	0.221356
34 	2      	128  	0.00789403 	0.184646	0.193106	0.217551
35 	3      	128  	0.00603689 	0.184533	0.1911  	0.20833 
36 	0      	128  	0.00509824 	0.182799	0.186803	0.214579
37 	1      	128  	0.00282365 	0.182725	0.18606 	0.199226
38 	2      	128  	0.00204226 	0.181757	0.183919	0.189474
39 	3      	128  	0.00390473 	0.18403 	0.189157	0.206234
