   	      	                          fitness                          	              size             
   	      	-----------------------------------------------------------	-------------------------------
gen	nevals	avg     	max     	min     	std        	avg    	max	min	std    
0  	1024  	0.254692	0.315431	0.187592	0.0322341  	16.0811	63 	3  	13.9643
1  	1024  	0.213232	0.260428	0.186547	0.0144541  	14.0225	63 	2  	11.5311
2  	1024  	0.196151	0.219754	0.184984	0.00676693 	12.2148	70 	2  	9.72075
3  	1024  	0.189476	0.197657	0.184984	0.00220197 	10.3594	63 	2  	5.65044
4  	1024  	0.187194	0.190512	0.183421	0.00115106 	12.3857	74 	3  	7.12504
5  	1024  	0.185725	0.188673	0.183421	0.000910421	17.6934	74 	5  	9.26338
6  	1024  	0.184721	0.186685	0.182885	0.000621717	23.1445	74 	5  	6.10413
7  	1024  	0.183959	0.186529	0.182683	0.00061739 	22.7402	67 	12 	4.59969
8  	1024  	0.183374	0.184705	0.182447	0.000253492	21.625 	75 	16 	5.18524
9  	1024  	0.183114	0.183813	0.182447	0.000272523	24.2051	75 	13 	5.20938
10 	1024  	0.1828  	0.183421	0.182119	0.000173618	27.4717	82 	16 	7.12755
11 	1024  	0.182601	0.183167	0.182119	0.000145752	32.6699	82 	19 	11.0641
12 	1024  	0.182427	0.18277 	0.18178 	0.000134968	41.7314	69 	21 	7.86477
13 	1024  	0.18228 	0.182447	0.18178 	0.000158614	41.5811	62 	21 	8.21603
14 	1024  	0.182108	0.182447	0.18178 	0.000121968	35.6611	78 	21 	6.715  
15 	1024  	0.182013	0.18219 	0.18178 	0.000148775	33.4912	79 	21 	9.80881
16 	1024  	0.18185 	0.182457	0.181634	0.000128204	27.874 	79 	21 	10.4857
17 	1024  	0.181776	0.182119	0.181343	3.56802e-05	23.915 	75 	21 	3.60523
18 	1024  	0.181755	0.183421	0.181343	9.09925e-05	24.3193	48 	21 	2.81919
19 	1024  	0.181681	0.183463	0.181256	0.000137248	26.1406	50 	21 	3.19756
20 	1024  	0.18154 	0.182695	0.181256	0.000150347	27.8154	42 	21 	2.78846
21 	1024  	0.181383	0.18177 	0.181256	9.56135e-05	28.375 	86 	25 	3.20766
22 	1024  	0.181324	0.18178 	0.181256	4.48852e-05	29.1162	48 	23 	2.76579
23 	1024  	0.181281	0.181343	0.181097	4.05016e-05	30.5264	50 	25 	2.98356
24 	1024  	0.181255	0.181343	0.181097	2.07588e-05	31.5352	90 	25 	3.21051
25 	1024  	0.181246	0.183692	0.18109 	8.54207e-05	32.1748	78 	29 	4.13631
