   	      	                          fitness                          	              size              
   	      	-----------------------------------------------------------	--------------------------------
gen	nevals	avg     	max     	min     	std        	avg    	max	min	std     
0  	1024  	0.254771	0.319546	0.185996	0.0312177  	16.502 	63 	3  	14.2495 
1  	1024  	0.21313 	0.27346 	0.185996	0.0154702  	15.9453	82 	2  	14.3567 
2  	1024  	0.195281	0.22103 	0.185694	0.00592505 	13.3613	62 	2  	11.0003 
3  	1024  	0.189625	0.199498	0.185049	0.00215757 	12.1348	61 	3  	7.7342  
4  	1024  	0.187122	0.192088	0.184768	0.00137782 	12.791 	63 	3  	6.61403 
5  	1024  	0.185716	0.190105	0.183678	0.000638124	14.582 	59 	5  	5.72831 
6  	1024  	0.185083	0.186337	0.183602	0.000379878	16.5996	43 	5  	5.46132 
7  	1024  	0.184727	0.186756	0.183469	0.000368547	18.0234	37 	7  	5.17576 
8  	1024  	0.184304	0.185199	0.182886	0.000431504	17.377 	32 	7  	4.79385 
9  	1024  	0.183821	0.185697	0.182886	0.00036496 	16.6523	33 	7  	5.81621 
10 	1024  	0.18347 	0.187017	0.182784	0.000267526	19.7207	69 	9  	6.99666 
11 	1024  	0.183204	0.183678	0.182714	0.000200922	19.9922	69 	9  	6.04637 
12 	1024  	0.183002	0.184742	0.182702	0.000149438	19.4268	69 	11 	5.1454  
13 	1024  	0.182868	0.18471 	0.182413	0.000120525	18.7246	38 	13 	4.89243 
14 	1024  	0.182767	0.183736	0.182413	8.42713e-05	21.6455	43 	13 	6.66031 
15 	1024  	0.18268 	0.182886	0.182233	9.92042e-05	27.5615	36 	13 	5.92912 
16 	1024  	0.182561	0.18277 	0.181872	0.000131074	30.0498	55 	18 	5.77681 
17 	1024  	0.182399	0.183901	0.181771	0.000150236	33.542 	55 	18 	4.95489 
18 	1024  	0.182235	0.182633	0.181745	0.000218299	32.2588	55 	22 	5.44938 
19 	1024  	0.181965	0.182413	0.181372	0.000194065	30.8594	55 	22 	5.48184 
20 	1024  	0.181808	0.182233	0.181372	7.49076e-05	29.5654	46 	22 	6.64969 
21 	1024  	0.181749	0.181872	0.181372	6.81545e-05	30.1104	44 	22 	7.55233 
22 	1024  	0.181695	0.181771	0.181372	0.000124787	35.7061	57 	22 	4.29395 
23 	1024  	0.181572	0.181745	0.181372	0.000174141	34.8008	57 	29 	3.79805 
24 	1024  	0.181404	0.183933	0.181372	0.000133947	31.6025	57 	29 	2.37895 
25 	1024  	0.181373	0.182324	0.181372	3.27005e-05	31.0781	45 	29 	0.823098
