   	      	         ind          
   	      	----------------------
gen	nevals	gen	nevals	unique
0  	1024  	0  	1024  	1013  
1  	1024  	1  	1024  	504   
2  	1024  	2  	1024  	304   
3  	1024  	3  	1024  	237   
4  	1024  	4  	1024  	187   
5  	1024  	5  	1024  	148   
6  	1024  	6  	1024  	157   
7  	1024  	7  	1024  	117   
8  	1024  	8  	1024  	76    
9  	1024  	9  	1024  	90    
10 	1024  	10 	1024  	61    
11 	1024  	11 	1024  	42    
12 	1024  	12 	1024  	34    
13 	1024  	13 	1024  	56    
14 	1024  	14 	1024  	60    
15 	1024  	15 	1024  	54    
16 	1024  	16 	1024  	27    
17 	1024  	17 	1024  	10    
18 	1024  	18 	1024  	7     
19 	1024  	19 	1024  	5     
20 	1024  	20 	1024  	4     
21 	1024  	21 	1024  	4     
22 	1024  	22 	1024  	4     
23 	1024  	23 	1024  	4     
24 	1024  	24 	1024  	5     
25 	1024  	25 	1024  	4     
