   	      	                                  fitness                                  	                      size                     
   	      	---------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std        	avg    	gen	max	min	nevals	std    
0  	1024  	0.24272 	0  	0.305502	0.177369	1024  	0.0297433  	36.4658	0  	234	3  	1024  	52.4233
1  	801   	0.204628	1  	0.247784	0.177369	801   	0.015228   	26.4688	1  	220	2  	801   	39.0525
2  	826   	0.186396	2  	0.217801	0.177369	826   	0.00640629 	18.4258	2  	222	2  	826   	24.3471
3  	819   	0.180709	3  	0.197017	0.175348	819   	0.0020265  	17.0703	3  	220	2  	819   	16.017 
4  	819   	0.178581	4  	0.181761	0.173365	819   	0.00130211 	14.2441	4  	73 	3  	819   	11.4178
5  	827   	0.177256	5  	0.18043 	0.173365	827   	0.000976488	10.2305	5  	58 	3  	827   	4.93232
6  	808   	0.176134	6  	0.177933	0.173223	808   	0.00159486 	12.3281	6  	58 	3  	808   	6.23152
7  	819   	0.174179	7  	0.178833	0.172362	819   	0.00129553 	14.0254	7  	69 	3  	819   	7.41629
8  	832   	0.173283	8  	0.176794	0.170373	832   	0.000351214	15.5947	8  	60 	7  	832   	9.55283
9  	821   	0.17289 	9  	0.173365	0.170373	821   	0.000675629	19.3086	9  	117	7  	821   	12.1088
10 	811   	0.171939	10 	0.173351	0.168228	811   	0.000870704	27.873 	10 	117	11 	811   	12.6839
11 	830   	0.170823	11 	0.173181	0.168228	830   	0.000514709	36.6191	11 	70 	11 	830   	7.1971 
12 	816   	0.170277	12 	0.171338	0.168228	816   	0.000411961	40.2861	12 	79 	13 	816   	6.89536
13 	821   	0.169748	13 	0.170373	0.168228	821   	0.000750633	42.5205	13 	79 	20 	821   	8.03116
14 	837   	0.168717	14 	0.170249	0.168169	837   	0.000669635	38.8066	14 	79 	30 	837   	6.67447
15 	824   	0.168234	15 	0.169115	0.168148	824   	6.89837e-05	36.3643	15 	54 	25 	824   	2.43211
16 	828   	0.16822 	16 	0.168228	0.167847	828   	3.41446e-05	36.7285	16 	80 	25 	828   	4.54239
17 	809   	0.168182	17 	0.168228	0.167847	809   	8.81957e-05	39.4727	17 	80 	25 	809   	10.7728
18 	790   	0.168065	18 	0.168228	0.167298	790   	0.00016457 	50.3008	18 	82 	27 	790   	18.6062
19 	818   	0.167826	19 	0.168169	0.167183	818   	0.00017679 	70.2227	19 	92 	30 	818   	16.8739
20 	841   	0.16761 	20 	0.167847	0.167065	841   	0.000236189	55.9043	20 	119	27 	841   	21.3409
21 	805   	0.167304	21 	0.167847	0.166634	805   	0.000133078	39.6289	21 	86 	23 	805   	10.9817
22 	819   	0.167167	22 	0.167442	0.166606	819   	0.000105884	42.9121	22 	79 	25 	819   	6.5885 
23 	805   	0.167031	23 	0.167183	0.166558	805   	0.000155195	44.124 	23 	79 	32 	805   	7.82195
24 	802   	0.166809	24 	0.167182	0.166558	802   	0.000167947	48.6846	24 	80 	32 	802   	11.7776
25 	824   	0.166618	25 	0.166944	0.166393	824   	5.98685e-05	59.7178	25 	103	32 	824   	17.488 
